Agency Code,Agency Name,GEOID
13524,Lee County Sheriff,
13525,Franklin Grove Police,1600000US1727689
13526,Dixon Police,1600000US1720162
13527,Ashton Police,1600000US1702583
13528,Amboy Police,1600000US1701270
13529,Pontiac Police,1600000US1761015
13530,Livingston County Sheriff,
13531,Fairbury Police,1600000US1724764
13532,Dwight Police,1600000US1721358
13533,Mount Pulaski Police,1600000US1751128
13535,Logan County Sheriff,
13536,Lincoln Police,1600000US1743536
13537,Emden Police,1600000US1723971
13538,Elkhart Police,1600000US1723269
13539,Atlanta Police,1600000US1702752
13540,Western Illinois University Police,
13541,Mcdonough County Sheriff,
13542,Macomb Police,1600000US1745889
13543,Colchester Police,1600000US1715378
13544,Bushnell Police,1600000US1710110
13545,Blandinsville Police,1600000US1706470
13546,Woodstock Police,1600000US1783349
13548,Union Police,1600000US1776706
13549,Spring Grove Police,1600000US1772052
13550,Richmond Police,1600000US1763641
13551,Oakwood Hills Police,1600000US1755041
13552,Mchenry Police,1600000US1745694
13553,Mchenry County Sheriff,
13554,Marengo Police,1600000US1746786
13555,Lakewood Police,1600000US1741651
13556,Lake In The Hills Police,1600000US1741183
13557,Johnsburg Police,1600000US1738479
13558,Huntley Police,1600000US1736750
13559,Holiday Hills Police,1600000US1735515
13560,Hebron Police,1600000US1733851
13561,Harvard Police,1600000US1733331
13562,Fox River Grove Police,1600000US1727533
13563,Crystal Lake Police,1600000US1717887
13564,Cary Police,1600000US1711592
13565,Bull Valley Police,1600000US1709531
13566,Algonquin Police,1600000US1700685
13567,Stanford Police,1600000US1772260
13568,Normal Police,1600000US1753234
13569,Mclean Police,1600000US1745811
13570,Mclean County Sheriff,
13571,Lexington Police,1600000US1743094
13572,Leroy Police,
13573,Illinois State University Police,
13574,Hudson Police,1600000US1736438
13575,Heyworth Police,1600000US1734449
13577,Downs Police,1600000US1720643
13578,Danvers Police,1600000US1718537
13579,Colfax Police,1600000US1715495
13580,Chenoa Police,1600000US1712931
13581,Bloomington Police,1600000US1706613
